semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
"to grow, ripen → (resultative) grown, ripe → soft, sweet → soft, gentle, pleasant (easy)",mercy,kindness,*mih1‑Éu̯‑/‑u‑´ ‘soft’,*mei̯h1-,"Lat. mītis ‘sweet and juicy (of fruit), soft (of material), gentle’; OIr. moith, maeth, moeth ‘soft, tender, yielding; BSl. *m(e)iHró- ‘peace’, cf. OLith. mieras, Latv. miêrs ‘peace’; Alb. mírë ‘good","gentle, mild,  to regard well, favor","mīyawa/i- mīlušga/i, mimma; CL *mī- ‘soft’","miyu-/-aw- ‘gentle, mild’  mi-u2-mar, miye- /miu- 'soft as a butter' mīnu- ‘to soften’; mi-nu-mar 'words of  mercy mimma-",,"*mi- ‘soft’, derivative *miwa- ‘soft’",,,,,,"Puhvel (173): Luw. nom. pl. c. mi-i-ya-wi-en-zi (KUB XXXV 133 I11 5 [Starke, KLTU 281, Stammbildung 3581); cf. KBo XXII 254 Vs. 10 ]mi-ya-ti-wa-an-zi[ ? miu- (< *miH2u-) is cognate with Lat. mitis, OIr. mdith 'soft. mild', OIr. min 'smooth', Lith. mylas 'tender, lovely' (IE W 71 1-2). This precise tie-in (first in J. Knobloch, Kratylos 4:38 [1959]) was obfuscated (e. g. Oettinger, Stammbildung 47 1 ; Weitenberg, Stamme (122-3, 421-2) by mixing in mai-lmiya- 'grow, mature, be born', where homophony and semantics have wrought confusion, but which has an entirely different root etymology. Cf. tni(e)ura-, miumiu-. Korkhorst (584): Anat. cognates: CLuw. mu- / ma- (adj.) ‘smooth’ (nom.pl.c. mi-i-a-i5-en-zi). IE cognates: Lat. mtis ‘soft’, Lith. míelas ‘tender, lovely’, Russ. mílyj ‘sweet’, etc PIE *míh1-(e)u-. See CHD L-N: 306f. for attestations of mu-, 243f. for mšš-zi, 309 for mumar, and 291 for mnu-zi. Note that CHD regards the forms spelled as mi-e-nu- as belonging to the group of mu- as well, but this is not obligatory (see s.v. mienu-zi). I will therefore disregard these forms here. Note that CHD incorrectly cites nom.sg.c. “mi-u-uš” (KUB 39.41 obv. 17 (NS), KUB 33.38 iv 10 (OH/MS)), which in fact must be mi-ú-uš. It is clear that we are dealing with an ablauting u-stem adjective mu- /ma-, with derivatives mnu-zi (like tepnu-zi of tpu- / tpa- ‘few, little’), mšš-zi (fientive in -šš- of the root m-, which contrasts with e.g. tepašš-zi of tpu- and idalašš-zi of idlu- /idla- ‘bad, evil’, but matches parkšš-zi beside parkušš-zi of parku- /parka- ‘high’) and mumar (a derivative in -ar /-n- of the stem mu-, showing the development *-u- > -um-). Etymologically, mu- has to be compared with Lat. mtis ‘soft’, Lith. míelas ‘tender, lovely’, etc. (thus first Knobloch 1959: 38), which point to a root *meih1- (cf. Schrijver 1991: 240). We therefore have to reconstruct *méih1-u- / *mih1-éu-, which was levelled out to *míh1-u- / *míh1-eu- and regularly yielded OH /míu-/, /míau-/ > NH /mu-/, /mau-/, spelled mi-i-u°, mi-i-a-u°. Klorkhorst 579 mienu-zi (Ib2) ‘?’: 3pl.pret.act. mi-e-nu-er (KBo 14.42 obv. 11 (NH)), mi-e-nu- u-e-er (KUB 19.22, 3 (NH)), 3sg.imp.act. mi-e-nu-ud-du (KUB 17.12 ii 14 (NS)). Derivatives: mienu- (adj.) (nom.sg.c. mi-e-nu-uš (KUB 17.12 ii 12 (NS)), nom.- acc.sg.n. mi-e-nu (KUB 17.12 ii 13 (NS)), acc.pl.c. mi-e-nu-uš (KBo 3.28, 16 (OH/NS), KUB 31.136 ii 1 (NS)). Often, these words are regarded identical with mnu-zi ‘to soften’ (see s.v. mu-) (cf. CHD L-N: 242, Puhvel HED 6: 171). This is a bit awkward, as all attestations of which a meaning ‘to soften’ is clear are spelled mi-i-nu- and mi-nu-, but not **mi-e-nu-, whereas for all forms that are spelled mi-e-nu- a translation ‘to soften’ or ‘soft’ is not obligatory. For the forms mienuer and mienuer cf. CHD L-N: 291, for mienuddu, mienuš and mienu cf. CHD L-N: 242. A nominal mienu- is found in gen.sg. mi-e-nu-a-aš (KUB 33.103 iii 7), but the connection with the verb mienu-zi and the adj. mienu- is unclear. See Weitenberg (1984: 42f.) for an extensive treatment of the stem mienu- and his rejection of the identification with mnu-. Note however that due to the lowering of OH /i/ to NH /e/ before -n- as described in § 1.4.8.1d, the attestations mi-e-nu- formally could be regarded as the NH outcomes of original mnu-zi. PIIr. *mái̯(H)as- ‘pleasure’, cf. CLuw. mi(ya)ša- ‘(a body part)’; Lat. mītis ‘sweet and juicy (of fruit), soft (of material), gentle’; OIr. moith, maeth, moeth ‘soft, tender, yielding; BSl. *m(e)iHró- ‘peace’, cf. OLith. mieras, Latv. miêrs ‘peace’; Alb. mírë ‘good’; an adjectival abstract PIE *mei̯h1-(o/e)s‑ ‘softness’ as well as certain adjectives, viz. PIE *m(e)i̯h1-ro- (BSl., Alb., cf. above), a proterokinetic u-stem adjective PAnat. *mih1‑Éu̯‑/‑u‑´ ‘soft’, and PIE *mih1‑ló- ‘soft’."
to be or act favorable towards → have mercy,mercy,mercy,*dhu-dheu̯- ‘to have mercy’ ,*dheu̯-,"Vedic dhvasrá- ‘supporter, one who favors’ (RV 10.40.3), ādhavá- ‘caresser’ , Latin faueō, fāuī, fautum ‘be favorably inclined towards, favor, approve’, fautor, fauitor ‘supporter, partisan’, faustus ‘fortunate, favorable’, fauor ‘good will, inclination’, Umbrian fons ‘favorable’ (*fou̯-ni-). Iranian root *dauH ‘smear, rub (on)","benevolence, grace; to have mercy on (?)","duddunti , duddumišša; dudummani-(ti)",duddu-; duwaddu-,,,,,,,,"PIE root *dheu̯-, was proposed by Bailey 1960a Vedic dhvasrá- ‘supporter, one who favors’ (RV 10.40.3), ādhavá- ‘caresser’ (RV 10.26.4).Ossetic Digor rævdawun, rævdud, Iron rævdawyn, rævdyd ‘caress, comfort, lull to sleep’ (*fra-abi-dau̯- or *fra-du̯ā-), Digor avdænæ, Iron avdæn ‘cradle’ (*ā-dau̯ana-), Digor idawæg, Iron dawæg ‘guardian genius’ (*abi-dau̯aka- or *vi-dau̯aka-). Latin faueō, fāuī, fautum ‘be favorably inclined towards, favor, approve’, fautor, fauitor ‘supporter, partisan’, faustus ‘fortunate, favorable’, fauor ‘good will, inclination’, Umbrian fons ‘favorable’ (*fou̯-ni-). However, rather than combining these etyma with formations that belong to an Iranian root *dauH ‘smear, rub (on)’ (on which see EDIV:68f.), it might be preferable to assume a separate root *dheu̯- ‘to favor’ for our group of words."
internal body part (spleen) → seat of emotions → kindness,mercy,mercy,"?? *ĝenh1-su- (Kloekhorst, Rieken); *ĝems-u-/ĝens-u- (Laroche)",ĝenh1-,"Skt. jani ‘to procreate, Lat. ntus ‘born’, etc.; for the meaning ‘kindness’, cf. Lat. gentilis ‘gentle","kindness, mercy",,genzu-,,,,,,,,"Klorkhorst (468) Derivatives: genzue/a-zi, genzuae-zi (Ic1 / Ic2) ‘to treat gently, to be compassionate (towards), to be kind (to)’ PIE * ĝenh1-su- See Puhvel HED 4: 154f. for attestations. The word denotes a body part, which can be identified with the lower abdomen on the basis of its place in lists of body parts. Besides its literal meaning, it also occurs metaphorically in expressions like genzu d- i / d- ‘to take pity on’, genzu ar(k)-zi ‘to have fondness for’, genzu pai-i / pi- ‘to extend kindness’, but also in its derivatives genzuae-zi ‘to be gentle with’ and genzuala- ‘kindhearted’. The literal meaning ‘lower abdomen’ (‘*area of the loins’?) and the metaphoric meaning ‘kindness’ seem to fit the PIE root *enh1- ‘to beget, to procreate’ (Skt. jani - ‘to procreate, Gr. #‘to come into being’, Lat. ntus ‘born’, etc.; for the meaning ‘kindness’, cf. Lat. gentilis ‘gentle’, ModEng. kind). It is quite generally assumed that genzu- reflects * ĝenh1-su- (cf. Skt. rá+su-enjoyable’, dháku- ‘burning’, but also Hitt. tepšu- < *dhebh-su-), but details are unclear. The biggest question is how the cluster -nz- came about, especially in comparison to the fact that *VnsV > Hitt. VššV. For instance, Eichner (1973a: 55, 86) assumes that in * ĝenh1-su- the laryngeal was vocalized to *genasu- and that this vocalized laryngeal only got syncopated after the assimilation of *-ns- to -šš-. The secondary cluster *-ns- then yielded -nz-. It is problematic, however, that neither vocalization of laryngeals (cf. Melchert 1994a: 65) nor syncope of vowels is a regular phonetic development in Hittite. Rieken (1999a: 220-1) remarks that Skt. dhák u- is remodelled after an o-stem, while rá+su- goes back to an IE s-stem *rém-e/os- (although opinions differ on this, cf. Mayrhofer 1986-2002: 2.428). In the same way genzu- then could be derived from the s-stem * ĝénh1-e/os- (Gr. , Lat. genus). According to Rieken, “[d]ie Bewahrung des Nasals vor dem Sibilanten und die Epenthese van t in genzu-, die der normalen Entwicklung widersprechen, erklären sich aus dem Bedürfnis, die Morphemgrenzen deutlich zu bewahren”. This is rather ad hoc, however. In my view, the solution is quite simple: just as *-ms- and *-mh1s- behaved differently when in intervocalic position (*VmsV > VššV (*h2emsu-> aššu-) whereas *Vmh1sV > VnšV (*h2ómh1sei > nši)), so did -ns- and -nh1s- as well. The first one assimilated to -šš-, whereas *Vnh1sV yielded VnzV (for this reflex compare *CnsV > CanzV and *CmsV > CanzV). The preservation of -e- is quite remarkable. Apparently, genzu- < *enh1su- did not participate in the sound law *eRCC > aRCC, nor in the sound law *enT > anT. This points to the following relative chronology: (1) *enT > anT; (2) *Vnh1sV >VnzV; (3) *eRCC > aRCC. Molina: Concerning Hitt. genzu-/ginzu-, we can rely on the work of S.Kimball (2011), who provides analysis of semantics, form and correspondences, compares contexts, including enumerations of body parts with this lexeme, and convincingly demonstrates that genzu- , most likely, originally meant not the knees or genitals, as suggested, in particular, by J.Puhvel (HED K: 154-157), but the spleen, which in other Indo-European languages also becomes the source of emotions (Gk. σπλήν > Eng. spleen). Since Kimball manages to identify a series of names of internal body parts in which genzu- is clearly opposed to innards(karāt-), ‘live’ (UZU NIG.GIG), ‘kidneys’ (UZU KALAM), ‘abdominal cavity’ (KARŠU), ‘genitals’ (UZU ÙR), and ‘heart’ (ker-), the identification of this internal source of kindness appears justified (Kimball 2011:6). The metaphorical transition internal body part (spleen) > kindnessfrom a typological point of view is quite trivial:Derivatives of genzu-genzuwazi to treat gently, to be compassionate genzuwala- kind- hearted. The etymology in the literature varies between two versions: A. *gem-s-/gen-s- with the meaning to squeeze’ (Laroche 1965), B. *genh to give birth, to nurture (Rieken 1999, EDHIL)."
"desire, impulse → pleasant impulse → joy",mercy,mercy,"For PA, if palatovelars were distinct, PA *ĝor- > *kar-.",*ĝher-/*ĝhor-/*ĝhr-,"Gk. χαίρω ‘I rejoice’ is to χάρις OR χαρά ‘grace/joy’, Ved. hā́ryati ‘finds pleasure, delights, likes’, Av. zara- ‘aim, goal(?), Lat. horior ‘to urge on’; OHG ger ‘desirous’, gerōn ‘to desire’",have mercy,,"kari tiya; kariyasha- kariye/a-, kariyatta-",,,,,,,,"PIE *ĝher-/*ĝhor-/*ĝhr-. Kloekhorst (449): IE cognates: Skt. háryati ‘to desire, to covet’, Gr. *# ‘to rejoice at, to take pleasure in’. PIE *ĝhr-e/o- See Puhvel HED 4: 80-1 for attestations. The verb and its derivatives are predominantly attested in NH texts. Puhvel (l.c.) connects the words to the IE root *her- as reflected in Skt. háryati ‘to desire, to covet’, Av. zara- ‘aim, goal(?)’, Gr. *# ‘to rejoice at, to take pleasure in’, * ‘grace, favour’, but also in Lat. horior ‘to incite, to urge on’. The word kari would then be similar to Gr. *‘grace, favour’ and reflect a petrified dative-locative. taking kar-i from the reduced grade *ĝhr-, as Gk. χάρις? The denominative + kariia- (³) (middle) is at least functionally related to *kar- (perhaps actually to kari as a hypostasis) in much the same way as Gk. χαίρω ‘I rejoice’ is to χάρις/χαρά ‘grace/joy’; formally it corresponds rather to the likewise full-grade Vedic hā́ryati ‘finds pleasure, delights, likes’. Lat. horior ‘to urge on’; OHG ger ‘desirous’, gerōn ‘to desire’, etc. (PIE *ĝher-/*ĝhor-). Formally, the closest match would be an o-colored full grade as in Avestan zara- ‘striving, aim, favor’ (*ĝhor-o-). For PA, if palatovelars were distinct, PA *ĝhor-/*ĝor- > *kar-."
"to speak → to speak with the gods → to invoke, call upon the gods;; to speak → to speak something good → good, pleasant (words)",comfort,peace,*doll-,"*delH-e/o- ~ *dolH-e/o- (for Hittite specifically, *dolH-e/o- is plausible if you want an o-grade source",,"to pray; calm (?), pacify (?); be pleasant",,talliya- 'invoke'; talli- ‘pleasant(?)’ and tallišš-zi ‘to be pleasant(?)’ (see s.v. talli-) talleškeddu -,,,,,,,,"PA: *doll-; PIE: *delH-e/o- ~ *dolH-e/o- (for Hittite specifically, *dolH-e/o- is plausible if you want an o-grade source). Cf. Tischler, HEG T:58 f. for attestations. Gloss: ‘to invoke, entreat (the gods)’.talli- ‘welcome, agreeable’; talles- ‘to become favorable, be gracious’. IE cognates: ‘to tell’ < *del 'tell, count' ON telja ‘to tell’ < *del 'tell, count'OE talian ‘to tell’ < *del. Goth. talzjan ‘to teach/tell’ < *del Gr. δολόω 'deceive, trick’, which is semantically better < *del."
"upwards → upper → chief, principal → to respect → to revere → to offer sacrifices;; upwards → upper → chief, principal → to respect → to praise",love,respect,"*sḗr, séri  ‘up(on), on top of",*sr̥-li-,Skt. širas 'top',to offer (in sacrifice); to honour; worshipper (?),"/sasarla-(i)/, (“LIBARE”)sa-sa5+ra/i-la-; /sisarli(ya)-/, si-sà+ra/i-li ‘to offer (in sacrifice); to honour’; (HL) /sarri/ ‘up, above’, CL šarri ‘up, above’; HL /sarra/, SUPER+ra/i-a ‘over’; CL šarra ‘up(on), above’; (HL) /sarla/i-/, SUPER+ra/i-li- ‘high, (sbst.) chief’; (CL) šarla/i- ‘supreme’ /sisarli(ya)-/, si-sà+ra/i-li- ‘worshipper, sarl(a)i-(di)/ ‘to offer","šēr ‘up(on), on top of","šer ‘up, over’","*šar- ‘up’;  šarištros(i)- ‘(divine epithet)šerl(i)- ‘supervising authority, chief’; šarloki-(d) ‘to be in charge (?)","hri ‘up, on (top)’; hrzze/i- ‘upper’ (top)’, hrppi ‘on (prev.), for (prep.)’"," *zri ‘up, on (top)",,,"*šar, *šr ‘up, above’","PIE *sr-li-; Kloekhorst 735 šarli- (adj.) ‘upper(most), superior’: acc.sg.c. šar-li-in (MH/NS), nom.-acc.pl.n. šar-li-a (MH/NS).Derivatives: šarlae-zi (Ic2) ‘to exalt, to praise; to let prevail; to lift off, to remove'. šarlaim(m)i- (adj.) ‘exalted(?)’šarlamiš- (n.) ‘glory’ (Luw.nom.-acc.sg. šar-la-mi-iš-ša (MH/MS)), (SISKUR/SÍSKUR)šarlatta- (SISKUR) (n.) ‘exaltation(?); praise offering’ šarlattašši- (adj.) ‘related to praise /exaltation’ PIE *sr-li-. See CHD Š: 277-8 for attestations. The adj. šarli- and its derivatives are clearly cognate with šr ‘on to’, šar ‘upwards’ and therefore must reflect *sr-li-. See s.v. šer and šar for further etymology."
UNKNOWN SOURCE → shame,hostility,shame,,,,shame,,aša- 'unknown OR shame',,,,,,,,"Galhano: acc. sg. a-ša-an KUB 33.108 obv.? ii 9; doubtful (-)]˹a?-ša-an˺ KUB 42.44 rev. v? 1’. (HW2 a: 369): meaning unknown; Tischler (HEG a-k: 77): “Schmach, Schande(?)”; KHW, 34: “Schmach, Schande(?)”."
express praise or blame → shame,hostility,shame,*do/ei̯ḱ-ri-,*dei̯ḱ-,NPhryg. (-)τετικμενος; PGmc. *teihan ‘to accuse’,"condemnation, shame",,"tekri ‘derogation, condemnation’",,,,,,,,"Nikolaev (2023): compares Hittite tekri- ‘derogation, condemnation’ < *do/ei̯ḱ-ri- with NPhryg. (-)τετικμενος and argues in favor of a translation ‘condemned’ and derivation from PIE *dei̯ḱ- (Ved. diś-, Gk. δείκνυμι, Lat. dīcere). The third piece of evidence for the root *dei̯ḱ- used to express the idea of censure comes from PGmc. *teihan ‘to accuse’. The source of the semantics is sought in Indo-European poetic language; it is argued that the PIE root *dei̯ḱ- could be employed in verbal contexts related not just to praise (Nikolaev 2012), but also to blame."
weight → burden → depression,distress,burden,,borrowing indep. into Hit. and Greek,"Gk. ἶπος 'weight, press'","weight, burden, depression",,"(a)impa- 'weight, burden, depression'",,,,,,,,"Puhvel (HED A:14): anda impai- 'be burdened, be depressed', verbal noun anda-kan impauwar (KBo 1.42 iii 53 glossed by Akk. ašašum 'load, down'); iter. 2 sg. pres. midd. in KUB 33.76 17 anda l]e impaiskatta 'be not depressed'; 33.68 ii 6 nu-za-sa namma anda le impanaitta 'be depressed no more'; caus. aimpanu- 'burden, beset'; 3 sg. pres. act. in KUB 5.1 iv 77-78 man=kan KARAŠ.HI.A ... hēus DUGUD-us ŪL anda aimpanuzi 'if heavy rain does not beset the army'. The a- may be somehow incremental, especially in view of the hiatus breaker r attested in KBo 20.82 ii 31 nu=wa=mu ANA ZI-YA arimpan [...] dāis 'and placed a burden upon my soul'. a(r)impa- is reminiscent of lilai-, lilariski-. impa- is plausibly comparable with Gk. ἶπος 'weight, press', fut. ἴψομαι, aor. ἰψάμην (Iliad+) 'bear down on, oppress, vex, harm', ἴπτω βλάπτω (EM 481.3), ἰμφθείς βλαφθείς (Hes.). Origin unknown, presumably noun borrowed from some common source into both Hittite and Greek, with independently developed denominative verbs (impai-; *ἴ(μ)φ-ιω → ἴ(μ)πτω, later also ἰπόω."
to cover oneself → to feel shame,hostility,shame,,"*(s)k̑em- ‘to cover, to conceal (oneself)’","OE sc(e)amu ‘shame; disgrace’, OHG scama, German Scham, English shame","to be disgraced, to feel shame",(*)zammurā- ‘insult’,"zammurāi-, (GK)zammurai- (n.), (GK)zammuratt(i)- (c.), zammurinu- 'to cause to be humiliated'",,,,,,,,"Nikolaev (2019): In Hittite texts zammurāi- and its verbal nouns, „zammurai- (n.) and zammuratt(i)- (c.), denote offence of the gravest kind: the objects are usually gods, kings, cities, and lands. In most of its occurrences the verb refers to verbal insult, slander, or defamation. “Indictment of Madduwatta” (CTH 147), where zammurāizzi is used along with idālun memian and kūruraš memian memai. Similarly, zammurāizzi is preceded by idālu uttar in Tudḫaliya II’s instructions to the army “speaks evil/hostile word(s)”. The verb zammurāi- can refer not only to a verbal insult, but also to actions constituting an offence. For instance, in a letter sent by the future emperor Tudḫaliya IV? to the queen Puduḫepa? the speaker uses the verb zammurāi-, speaking about the distress he caused to the emperor (presumably Ḫattušili III). zammurāi is also used to denote defilement and profanation. In a passage from “Instructions for Temple Personnel,” shepherds are made to swear that they will deliver first-born animals to the temple, rather than keep some of the cattle for themselves, which would amount to desecration and offense. Comparing to hatganuzi 'stresses out', which interchanges with zammurai in some contexts, we can return to the translation ‘belittles, causes to be disgraced'. It appears that defamation and disgrace are two important connotations of the verb zammurāi- and its derivatives. At the same time, there does not seem to be sufficient textual evidence for the meaning ‘to attack, assail’. Luw. verb (*)zammurā- ‘insult’ (Kronasser 1966:482, Kloekhorst 2008:1030): 'insult, slander’. An alternative analysis of Nikolaev's of Luv. (*)zammurās being a denominative verb based on an athematic verbal noun *zammur ( < *zammuwar with syncope); in this case (*)zammurā- would be comparable, e.g., to Hitt. kururāi- (KBo 9.96 i 9ʹ) ‘to be hostile’, based on kurur ‘hostility’. Potential cognates in Anatolian languages: one such cognate was identified by Neumann (1969: 396) in Lyc. zum̃me˜, zum̃mã ‘harm?’ (Nikolaev suggests 'desecration, violation (of a religiously significant object/place)'). As far as our limited knowledge of Lycian historical phonology allows us to tell, initial z- in Lycian goes back to Proto-Luvic *ts1- (< PIE *t̯i-, *g/g̑(h)̯i-) and *ts2 ( <*ts- / *ds-). But Nikolaev (2019:191) rejects this etymology on formal grounds: ""Based on the known sound laws one may propose a Transponat *(s)k̑em-: both the a-vowel and the geminate -mm- of Luvian (*)zammurā- would be regular by Čop’s Law (*tsem- > *tsamm-), while the initial affricate can be viewed as a product of palatalization of *k̑ by the following *e. For these phonological developments one may compare CLuv. zalla- ‘to trot’, HLuv. zallal- ‘vehicle’ going back to IE *(s)k̑el- (cf. Lith. šúolis ‘a leap’). He suggests English shame going back to *skamō f. (OE sc(e)amu ‘shame; disgrace’, OHG scama, German Scham). These words have no standard Indo-European etymology and their derivation from a verbal root *(s)k̑em- ‘to be disgraced, to feel shame’, posited on the strength of Anatolian data, appears semantically and formally compelling."
