concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
earthquake → shaking / tremor → fear,fear,"fear, tremble","PA katta- (Hitt.) + редупликация в значении ""тряска (земли?)""",, ,,,katkatiya-,,,,,,,,"Puhvel 135 katkattiya- is a quasi-phonesthetic reduplicate (miming the rattling and rumbling of an earthquake?), similar to e.g. tastasiya- 'whisper', ku(a)sku(a)s- 'squash', or Gk. [tappaipco 'glimmer',.lat - tftillo 'tickle'. A derivation from katta 'down' (like e.g. appai-be finished' from appa) started with the incorrect rendering of katkattinu- as 'sink, dunk' (H. A. Potratz, Das Pferd in der Friihzeit 199 [1938]) and is now far fetched (though persistent: e.g. Friedrich. JCS 1:278-80 [1947]; Laroche, BSL 52:78 [1956]; Kammenhuber, Hippologia 45-6; Kronasser, Etym. 1:493; Oettinger, Stammhildung
346-7; G. Dunkel, KZ 95:221 - 3 [1981]).N.A.Mkrtcyan (Acta Antiqua 22:319 [1974]) adduced Arm.(katr)kat'el 'drip' (cf. the similar comparison, ibid. 318, of Arm.kosfkocjel- 'smash' with Hitt. kufajskufajs- 'squash'). If there is more than chance onomatopoeic similitude, perhaps the Hittite-Mi- tannian hippological usage of katkattiya- as 'shake off water' af- fected the Armenian meaning. There may also have been a semantic tie between demonic dripping and seismic convulsing in the Cauca-sus area and beyond (cf. the Amirani : [Norse] Loki parallel in Puhvel, Comparative Mythology 217 [1987]).", tremble-fear - 25 совпадений 
"to join → one who joins / joining → standing together → submissive, loyal",fear,obedience,"PA*Hep-, *Hóp‑/*Hp‑´ ‘to join, attach""",PIE PIE *h2/3ep- ‘to join’,"Gk. ἅπτω ‘to fasten, bind, join’ (Il.+), ἅψος n. ‘juncture, joint, limb’ (Od.+), Lat. apere, apiō ‘to tie, fasten’ Lat. aptus ‘fastened, fitted, suitable’ Indo-Iranian ap- 'reach, obtain' ","loyal, trustworthy; loyalty, to tie (?), to make obedient (?)’, devotion (?)","ḫapanzuwant-; ḫapazuwalatar/n- habanzanuwa-(i)/, ha-pa-za-nu-wa/i- , /habanzulawa(/i)-/, (“COR”)ha-pa-zú+ra/i-wa/i-; Hieroglyphic Luwian */hab-/ ‘to join, attach’; Cuneiform Luwian *ḫap(p)- ‘to join, attach’ (participial formation *ḫap-ant- > assibilation found in *ḫapanzu- ‘loyal, obedient’ (→ HLuw. /habanzulawa(/i)-/, /habanzanuwa-(i)/ and CLuw. ḫapazuwalatar/n-) Значение «верный, надёжный» основывается на сопоставлении его отрицательной формы с отрицательным аккадским прилагательным lā taklu ‘ненадёжный’ в лексическом списке KBo 1.42; ср. CLL:54, а также в слегка модифицированном виде в HED H:118 f. (‘dependable — тот, на которого можно полагаться’), у Tischler 2008a:44 и Maier 2013a:206–208 (‘vertrauend, gehorsam— доверчивый, послушный’), Ünal 2007a:167 ‘dependable, obedient — покорный, тот, на которого можно полагаться’, HW² Ḫ:215 (s.v. ḫapanzuu̯ai– ‘быть надёжным, верным’).","Hittite ḫapp-(mi) ‘to join, attach’","Palaic *ḫap(p)- ‘to join, attach’; ḫapittala- ‘member, penis’",,"Lycian A *xb- ‘to join, attach’; xba-(ti) ‘to inflict’",,,,,"Cf. Goetze, Tunnawi 42-4 ; Kammenhuber, MIO 2:405 (1954);Kronasser, Etym. 1:282, 476.Luw. happisa- limb', instr. pi. ha-ap-pi-sa-a-ti {KUB XXXV 24,10; XXXV 51 III 11), also (misspelled?) V7V)za-ap-pi-sa-a-ti (XXX43 II 15). Cf Otten, LTU 33, 53, 43, Bestimmung 100; Diet. louv.41; Starke, KLTU 83, 177, 144.happessar is probably original verbal noun 'joining, joint' (cf.Lat. artus 'joint, limb'); Luw. happisa- shows elimination of the heteroclitic stem by loss of -r; happesnai- is denominatively derivedfrom happcssar.Cf. Lat. apere 'comprehendere vinculo', aptus 'joined, fit(ted)',copula (< *co-apula) 'bond', co-epi 'took hold, began' (cf. agerc :egi), apiscor 'attain' (lit. 'cleave to', perf. aptus). Thus IE *A}ep-join, attach' must be postulated, distinct from Indo-Iranian ap- 'reach, obtain' (wrongly Oettinger, MSS 34:124 [1976], who pos-tulated a root 'be fitting' for happ- and Lat. aptus, and connected apere with Hitt. ep\p\- 'seize' [q. v.]). Cf. happu-7 hapus-.",1. Buginese
"to do → to make an offering, a sacrifice → to stand in awe and trembling → to respect ← to fear",fear,reverence,"PA*i̯ág̑-i̯e/o- ‘to do, make’",PIE *h1i̯-,"Vedic yájate ‘to worship, adore, honor (esp. with sacrifice or oblations); to consecrate, offer’, perf. ījé, aor. yákṣat, ayaṣṭa, (á)yāṭ, iṣṭá- ‘sacrificed, worshipped’, yājáyati ‘to assist so. as a priest at a sacrifice; to cause so. to sacrifice sth.’, su-yáj- ‘worshipping or sacrificing well’, deva-yáj- ‘sacrificing for the gods’, r̥tvíj- m. ‘priest’ (< *‘sacrificing at the right time (r̥tú-)’), yájas- n. ‘sacrifice’, yajás- ‘worshipping’, yajúṣ- n. ‘sacrifice, worshipping’, íṣṭi- f. ‘sacrifice’, yájyu- ‘worshipping, devout, pious’, yajatá- ‘worthy of worship, adorable, holy, sublime’, yajñá- m. ‘worship, devotion, prayer, praise’, etc.; Avestan yazaitē ‘he worships’, frāiieze ‘I worship’ (1st sg. mid.), yazəmna- ‘worshipping’, yašta-, išta- ‘worshipped’, daēuua-iiaz- ‘worshipping Daēuua’, yaštar- m. ‘worshipper’, Old Persian yadataiy ⟨ydtiy⟩ ‘he worships’, Khotanese gyaṣ- (jays-) ‘to offer (sacrifice)’, etc., Avestan yazata- m. ‘someone worthy of worship’, Khotanese gyasta-, Middle and New Persian yazd ‘god’, Ossetic Iron zæd, Digor izæd ‘deity, angel’, Avestan yasna- m. ‘an act of worship, oblation, sacrifice’, Khotanese gyaysna- ‘sacrifice’, Middle and New Persian jašn ‘festival’.; Ancient Greek ἅζομαι ‘stand in awe of (esp. gods and one’s parents); respect’ (Il.+), ptcpl. ἁζόμενος ‘reverently, in holy fear’, ἅγιος ‘sacred, holy’ (Hdt.+), ἁγνός ‘pure, chaste, holy’ (Od.+), ἄγος n. ‘pollution, guilt; expiation, sacrifice’ (Hdt., A., Th., etc.), ἐναγής ‘under a curse’ (Hdt., S., etc.), psilotic for *ἅγος because of Pamphyl. *hαγος (inscr. hάιι<α> < *hαγεα), Eub. PN Ευhαγης (cf. εὐαγής ‘guiltless’), περἁγείς ‘all-sacred’ (Corinna); (?) Tocharian B yāṅk(ā)- ‘be deluded; bewitch’ (yaṅkäskau ‘I bewitch’), Tocharian A yāṅk(ā)- ‘id.’",to be reverent (?); to honour; to sacrifice,"/izziyassa-(i)/, i-zi-ia-sa-; /izzista-/, i-zi-i-sa-ta- <-- /izzi(ya)-(di)/, i-zi-ia- ‘to make’ (Hittite cognate iye/a-(mi) ‘to make); GK izzi(ya)- ‘(med.) to become’; /izzista-/ ‘honour’, /izzitta-/ n. ‘celebration, offering (?)’",iye/a-(mi) ‘to make; /izzista-(i)/ ‘to honour’,,,,,,,,"The Luwian word is formed with the suffix /-ssa-(i)/, which is used to derive additional verbal stems from already existing verbs, in this case /izzi(ya)-(di)/ ‘to do, make’, likely a compound verb. https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3736                 Vedic yájate ‘to worship, adore, honor (esp. with sacrifice or oblations); to consecrate, offer’, perf. ījé, aor. yákṣat, ayaṣṭa, (á)yāṭ, iṣṭá- ‘sacrificed, worshipped’, yājáyati ‘to assist so. as a priest at a sacrifice; to cause so. to sacrifice sth.’, su-yáj- ‘worshipping or sacrificing well’, deva-yáj- ‘sacrificing for the gods’, r̥tvíj- m. ‘priest’ (< *‘sacrificing at the right time (r̥tú-)’), yájas- n. ‘sacrifice’, yajás- ‘worshipping’, yajúṣ- n. ‘sacrifice, worshipping’, íṣṭi- f. ‘sacrifice’, yájyu- ‘worshipping, devout, pious’, yajatá- ‘worthy of worship, adorable, holy, sublime’, yajñá- m. ‘worship, devotion, prayer, praise’, etc.; Avestan yazaitē ‘he worships’, frāiieze ‘I worship’ (1st sg. mid.), yazəmna- ‘worshipping’, yašta-, išta- ‘worshipped’, daēuua-iiaz- ‘worshipping Daēuua’, yaštar- m. ‘worshipper’, Old Persian yadataiy ⟨ydtiy⟩ ‘he worships’, Khotanese gyaṣ- (jays-) ‘to offer (sacrifice)’, etc., Avestan yazata- m. ‘someone worthy of worship’, Khotanese gyasta-, Middle and New Persian yazd ‘god’, Ossetic Iron zæd, Digor izæd ‘deity, angel’, Avestan yasna- m. ‘an act of worship, oblation, sacrifice’, Khotanese gyaysna- ‘sacrifice’, Middle and New Persian jašn ‘festival’.; Ancient Greek ἅζομαι ‘stand in awe of (esp. gods and one’s parents); respect’ (Il.+), ptcpl. ἁζόμενος ‘reverently, in holy fear’, ἅγιος ‘sacred, holy’ (Hdt.+), ἁγνός ‘pure, chaste, holy’ (Od.+), ἄγος n. ‘pollution, guilt; expiation, sacrifice’ (Hdt., A., Th., etc.), ἐναγής ‘under a curse’ (Hdt., S., etc.), psilotic for *ἅγος because of Pamphyl. *hαγος (inscr. hάιι<α> < *hαγεα), Eub. PN Ευhαγης (cf. εὐαγής ‘guiltless’), περἁγείς ‘all-sacred’ (Corinna); (?) Tocharian B yāṅk(ā)- ‘be deluded; bewitch’ (yaṅkäskau ‘I bewitch’), Tocharian A yāṅk(ā)- ‘id.’",
"joy, happiness → amusement, entertainment",joy,happiness,"- (?), PA *TusK-",PIE *T(e)usK,,"happiness, joy",,"dušk- / tusk-/tuskiya- 'be happy; enjoy; rejoice; amuse, entertain’'",,,,,,,,"Иванов 180 Kloekhorst 901 It is difficult to establish what the original stem of this verb is. E.g. Oettinger (1979a: 326) interprets the verb as tuške/a-zi (probably inspired by his etymology, <*tus-se/o-). In my view, 1sg.pret.act. tuškun and duškun prove that the stem cannot have been tuške/a-, as we then would expect **tuškenun. These forms seem to point to tušk-zi only. The forms 2sg.pres.act. duškatti and dušgatti then perhaps denote /tuskti/. The derivative dušganu- can hardly be seen as belonging to a stem tuške/a-: it is likely to stand for /tusknu-/. The 3sg.pres.act. du-uš-KI-IZ-zi, which in principle can be interpreted as du-uš-ke-ez-zi = /tuskets i/ as from a stem tuške/a-, can be read du-uš-ki-ez-zi = /tuskiets i/ as well, as from a stem tuškie/a-zi. When we assume that the stem was tušk-zi with a variant tuškie/a-zi, we perhaps can interpret the stem tuškara- seen in the derivatives tuškaratt-, tuškartar and tuškaraant- as /tuskra-/. Note that Rieken (1999a: 116-7) interprets these words as /tuskra-/ as well, although this is in conflict with her view that the verb is tuške/a-zi. She therefore states that “es sich wahrscheinlich um eine Reimbildung zu *našara- [handelt], da -ra- nicht an thematischen Verben tritt”. The root tušk- can only reflect a preform *TusK-. All proposed etmologies,however, presuppose that tušk- is a -ške/o-derived stem. Petersen (1937: 211, widely followed, e.g. by Oettinger l.c., Rieken l.c.) connected the verb with Skt. túsyati ‘to be satisfied’ and reconstructed *tus-se/o-. Neumann apud Tischler (HEG T: 466) connects the verb with ON þýðr ‘friendly’, Goth. þiuþ ‘das Gute’, which reflect a root *teu- ‘in freundlichem Sinne die Aufmerksamkeit zuwenden’. In my view, these proposals cannot be correct. The verb tušk-zi rather reflects a root *TusK-, which is comparable in structure to e.g. *mesg-, *resg- and *tres- in LIV2 Unfortunately I have been unable to find cognates.                                               Molina Its derivatives are: tuškari-, tuškaratt- (c.) ‘happiness, entertainment’, dušganu- ‘to make happy’,duškaratar / duškarann- (n.)/ dušgariiyatar / dušgariyann- (n.) ‘happiness’, dušgarauwant- ‘happy, glad’. It is unfortunate that there are no obvious cognates for this lexeme, Tischler’s suggestion (HEG T: 466) about the connection of *tusk- with ONorv. þýðr ‘friendly’, Goth. þiuþ ‘goods’, which reflect PIE *teu-, has been refuted on the basis of that the verb tuškzi should  correlate with the PIE *tusk-, and, overall, there are no grounds for disagreeing with this opinion. See. https://unora.unior.it/bitstream/11574/247522/1/Cammarosano_2014_Rejoicing_in_the_Gods.pdf",
"ascent / rise → lifting of the spirit → joy, exaltation",joy,exaltation,PA*h3r̥-i̯é/ó- ‘to raise’; PA *h3ór-/h3r-´ ‘to arise’,PIE *h3ér-/*h3r̥-´,"Ved. (prá) ārta ‘began to move’ (RV+), OAv. imp. uz-ārǝšuuā ‘move!, head off!’ (Bartholomae 1904a:183), Gk. ὦρτο ‘arose, started up’  (?)Toch. B konj. ertär ‘may evoke’, Lat. orīrī ‘to rise, arise’, Umbr. urtu, ortom, etc. ‘emerged, arisen’ (IgT), OCS rasti, Russ. rastí ‘to grow’, Toch. A ar‑, Toch. B er- ‘to evoke, cause’",exultation (?),"/ariya-exultation /; /ari-(ti)/, PUGNUS-ri+i- ‘to raise’; āri-(ti) ‘to raise, stop’ to carry’",ār-/er-(ḫi) ‘ to arrive’ arāi‑/‑i(ya)‑(ḫi),ariye/a- ‘to raise’ ,,"eri-(ti) ‘to raise, stop’; erije-(ti) - to rebel - 2220",,,,,"https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2221 Yakubovich 2005c:114 compares the Palaic verb ariye/a- with Luw. ari- ‘to raise’, which fits well in the sentence KUB 35.165 obv. 22: nu-u=š-ši-i=a-am=pí ti-i a-ri ‘You, exalt him for yourself!’ Likewise, the meaning ‘to pick up’ is appropriate in the context of KUB 35.165 obv. 8, where bread is the direct object and the imperative is directed at the gods, i.e. ‘Pick them up!’. Contra Carruba 1970a:51 (and Carruba 1972a:19), the meaning ‘to arrive’ by comparing Hittite ār-/er-(ḫi) ‘to arrive’ does not make sense in any of the contexts, especially since the verb is clearly transitive. See also https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2220 PIE root aorist *h3ér-/*h3r̥‑´, cf. Hitt. arta ‘stands’, Ved. (prá) ārta ‘began to move’ (RV+), OAv. imp. uz-ārǝšuuā ‘move!, head off!’ (Bartholomae 1904a:183), Gk. ὦρτο ‘arose, started up’  (?)Toch. B konj. ertär ‘may evoke’  (?)nu-present *h3r̥-néu̯/nu-, cf. Ved. ṛṇóti ‘id.’ (RV+), Gk. ὄρνυμι ‘to urge on, incite’, Arm. y-aṙnem ‘to rise, Ved. ¹AR (RV+), OAv. īratū ‘he shall reach’, YAv. ǝrǝnao° ‘to send, bring’, Lat. orīrī ‘to rise, arise’, Umbr. urtu, ortom, etc. ‘emerged, arisen’ (IgT), OCS rasti, Russ. rastí ‘to grow’, Toch. A ar‑, Toch. B er- ‘to evoke, cause’",
bone → firm / solid → strong → strong fighter → brave → hero,joy,heroism,PA *HEst- ‘bone’,PIE *h2óst‑/*h2ést,"Ved. ásthi, gen. asthnás ‘bone’ (RV+); Av. ast- ‘bone, body’, Gk. ὀστέον, Dor. pl. όστία, etc. ‘bone’ (Il.+), Gk. ἀστράγαλος ‘knucklebone, etc.’ (Il.+), ὀστακός, ἀστακός ‘lobster’,  Arm. oskr ‘bone’, Lat. os, ossis ‘bone’, Ven. dat. pl. ostinobos ‘bones’; (?)Lat. costa ‘rib’,OIr. asna, esna ‘rib’, W asgwrn, Bret. askorn ‘bone’, OCS kostĭ, Russ. kost’ ‘bone’ (cf. Lat. costa ‘rib’), Alb. asht, pl. Tosk esht(ë)ra, Gheg eshtëna, (?)TochB āśce ‘head’; TochB āyo, TochA āy ‘bone’","hero; heroic, of the hero","/hastal(i)-/, HEROS-li- ; /hastali(ya)-/, HEROS-li- from Luw. */has(t)-/ ‘bone’; (CL) ḫāš- ‘bone, skeleton’",haštiliyatar 'heroism'; ḫašteliya-,,kasta- ‘bones (?)’,,,,,,"Puhvel 237 The figurative sense 'sturdiness' of hastai and Luw. hassa resembles Avesl. asti-aojah- 'bone-might' and asOntdt 'vigor', and further Hebrew 'sm with the double meaning 'bone' and 'strong'. The use of hastai as a length measure seems to be copied from Akk. esemtu 'bone; body frame1 which also denoted a fraction of a cubit (about a foot). For Hastali as a man's name in Anatolia see L. A. Gindin, Etimologija 1965 225- 8 (1967);
V. V. Sevoroskin, ibid. 230; Laroche, Noms 63, 336. Ved. ásthi, gen. asthnás ‘bone’ (RV+); Av. ast- ‘bone, body’, Gk. ὀστέον, Dor. pl. όστία, etc. ‘bone’ (Il.+), Gk. ἀστράγαλος ‘knucklebone, etc.’ (Il.+), ὀστακός, ἀστακός ‘lobster’,  Arm. oskr ‘bone’, Lat. os, ossis ‘bone’, Ven. dat. pl. ostinobos ‘bones’; (?)Lat. costa ‘rib’,OIr. asna, esna ‘rib’, W asgwrn, Bret. askorn ‘bone’, OCS kostĭ, Russ. kost’ ‘bone’ (cf. Lat. costa ‘rib’), Alb. asht, pl. Tosk esht(ë)ra, Gheg eshtëna, (?)TochB āśce ‘head’; TochB āyo, TochA āy ‘bone’. The original meaning of the root noun PIE *h2óst‑/*h2ést- is bone (cf. EIEC:77), as is directly preserved by most of the words presented sub Transmission. The further meanings, viz. ‘body’, ‘rib’, head’, etc. are easily derived from the more general meaning ‘bone’.",4перехода для кость-крепкий и 3 лля крепкий - смелый
onomatopoeic: ha-ha,joy,laugh,"? звукоподражание, появившееся, вероятно, на анатолийском или даже прахеттском уровне, ПИЕ-когнатов не вижу",,"Lat. hahae, cachinno, Gk. καχάζω, Skt. kakhati Arm. xaxanc,O.H.G. (huoch) ; Germ. (häher) , (heher) ; Eng. (cackle) Old Church Slavonic chochotati ""laugh,"" Lithuanian klagėti ""to cackle,"" Greek kakhazein",смеяться,,hahreške/a- ḫaḫḫarš-,,,,,,,,"PIE *kakh-                              Puhvel 7 Onomatopoeic word, cf. e.g. Lat. hahae, cachinno, Gk. καχάζω, Skt. kakhati Arm. xaxanc, etc. Cf. Kronasser, Etym. 1:121. F. R. Adrados's attempt (Homenaje a Antonio Tovar 39-4 5 [1972]) to make a precise connection with words like Gk. καχάζω jagged, rugged, harsh' is (apart from semantics) phonologically unlikely, since /; does not derive from a guttural occlusive.                                          PIE COGNATES:       Lat. (cachinnare) ; O.H.G. (huoch) ; Germ. (häher) , (heher) ; Eng. (cackle); Armenian xaxanc.                                             English laugh -- Old English (Anglian) hlæhhan, earlier hliehhan, hlihhan ""to laugh, laugh at; rejoice; deride,"" from Proto-Germanic *klakhjan (source also of Old Norse hlæja, Danish le, Old Frisian hlakkia, Old Saxon hlahhian, Middle Dutch and Dutch lachen, Old High German hlahhan, German lachen, Gothic hlahjan), from PIE *kleg-, of imitative origin (compare Latin cachinnare ""to laugh aloud,"" Sanskrit kakhati ""laughs,"" Old Church Slavonic chochotati ""laugh,"" Lithuanian klagėti ""to cackle,"" Greek kakhazein). Originally with a ""hard"" -gh- sound, as in Scottish loch; the spelling remained after the pronunciation shifted to ""-f.""",
,joy,laugh,,,"Gk . KaX(f)6c, : Skt. kalya- 'fair' aljan (neut.) ^rjXoe?, aljanon %nXov~\\ in aljana briggan or inaijanon l7iapa(t]lovv, provoke to jealousy","with 
laughing, enthusiasm",,"halwammar 'eagerness, zeal, elan, enthusiasm'",,,,,,,,"Puhvel 52 For formation cf. hamammar, hilaimnar, miumar, making denominative derivation plausible. A *halwa- can be compared with Goth, aljan (neut.) ^rjXoe?, aljanon %nXov~\\ in aljana briggan or inaijanon l7iapa(t]lovv, provoke to jealousy', with suffix variation as in e.g. Gk . KaX(f)6c, : Skt. kalya- 'fair' (cf. H. Eichner, Die Sprache 24:69 [1978]). But just as the 'zeal' notion of ^fjXoc, can shade over into jealousy' or 'indignation1 , an in bonam partem development can turn raving into positive enthusiasm, and hence an alternative comparison of *halwa- with Gk. dXvoj 'be distraught, be beside oneself is not to be completely ruled out (cf. Odyssey 18:333 if dXvciq, oxi *Ipov IviKnaaq tov dXrjznv 'do you exult that you prevailed over the vagrant Iros?'; but for dXuw see alternatively s. v. alwanza-). Cf. halluwai-, which has also been connected with dXvco but, like halwammar, more probably has an entirely different explanation.",
"to admire, to be in raptures, to revere → respect",love,respect,"PLuwic *lau̯- ‘to show reverence, honor (?)’",PIE *lau̯-,"Lat. laus, laudis ‘praise’ (Andr.+), laudāre ‘to praise, speak well of; to name’ (Plaut.+) OIr. lúaidid ‘to celebrate, mention’
eDIL s.v. 1 lúaidid, PGerm. *leu̯þa- ‘song’, cf. Goth. compound awi‑liuþ n. ‘acknowledgements’, ON ljóð ‘stanza of a song’, OE lēođ ‘song, poem’, OHG liod ‘song, praise’
","to show reverence, respect (?)",,,,lawa-(d)  ti[be (3–4 знака)]; lo-(d) ‘to honor (?)’; *láu̯-tori > Lyd. lodaλ,"*law- ‘to show reverence, honor (?)’",,,,,"PIE *lau̯- ‘to treat respectfully/honorably’; https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=920; the Luwic cognates Lyd. lo‑(d) ‘to show reverence(?)’ and Lyc. A lawi- ‘to respect(?)’ may be connected with Lat. laus, laudis ‘praise’",
"take care of a tomb → show respect (to cause to be thriving → to hand over in a thriving state → to hand over reverently, with care)",love,respect," Yakub. 2022 (JLR) *χwisr-; or *kʷisr- ‘(welfare, thriving, good state)’ → causative verb *kʷisr-ey(o)- ‘to make thrive, take care (of)’)                     *PA *traw- ‘to pass, hand over’; (Lydian innovation built on PA pieces): PA compound *kʷisr-traw- ‘to hand over in good/thriving state’ (→ ‘hand over reverently/with care’) ",,,to take care of a tomb = show respect,,"Hitt. ḫuwāi-/ḫuiya- (i) ‘to move’ and Luw. (H) hwiya- ‘id.’ are formally suitable as cognates of Lyd. *qi-šr (Yakub. 2022, JLR)",,"qišre-(d) ‘to take care (?)’, qištori-  ‘to hand over with care (?)’",,,,,,"Its likely genetic connection with Lyd. kan-toru (Brandenstein 1931a:37), and thus ultimately with Lyd. trodν ‘I handed over, delivered’ (vel sim.), with which it occurs in the same line,  strengthens the impression that it also represents a verb of transfer. The formal and syntactic similarity between kan-toru and qištoridν suggests a segmentation into qiš- + toridν. The second element of this reconstructed compound (i.e. Lyd. tro-(d)) apparently represents a lexical cognate of Luw. /trawi-(ti)/ ‘to pass, hand over’.  Rather than comparing this element with the relative pronoun, as does Carruba, one attempt to reconstruct the element qišr- with the approximate meaning ‘thriving’. Then the denominative qišre- could originally mean ‘to cause to be thriving’, while the compound qišr-tori- > qištori- would have the literal meaning “to hand over in a thriving state”. Subsequent semantic bleaching in the direction ‘to hand over reverently, with care’ should not appear surprising. ",
fear,love,care,PA malu,PIE *mleu̯h2- (verbum dicendi) > *ml̥u̯h₂-,,to take care of,"? HLuw. malwa/, ma-lu-wa/i ‘(unknown)’",malаi ??,,,mlu-; mluhidaza- ‘(a title)’; mlu- ‘to take care of’,,,,,"PIE *mleuh2- > *ml̥u̯h₂- > PA malu > Lyc. mlu                                   The Indo-European etymological connection with the root of speaking *mleuh2- suggested in eDiAna, but not yet provable due to the uncertainty of the meaning of the verb. Likewise, the highly tempting inner-Anatolian connection between Lyc. A mlu- and Luw. malwan- (and HLuw. ma-lu-wa/i) is weakened by the lack of a solid semantic assignment. 

Melchert (DLL:40f.) hesitantly suggests the meaning ‘tend to, care for’. On exclusively formal grounds, a connection of mlu- with the PIE root *mleu̯h2- (verbum dicendi) seems possible, but difficult to prove. Hence this could be a development from ‘to speak’ > ‘to care for’ or ‘to take care of’. The word km̃mẽti ‘how(ever) many’ could serve as a subject and tddẽta ‘nourishing, food (?)’ as a direct object. Thus, the meaning ‘to take care of (the food)’ in the sense of distributing it to the army could be adopted.

se=i=(ẽ)nẽ telẽzijẽ tddẽta mluñte w[..]qrai[j]e km̃mẽti

‘And however many took care of the food(?) of the armies… (vel sim.)’

The word ẽnẽ ‘under’ may function as a preverb modifying the semantics of mlu- slightly, cf. ẽnẽ sm̃mate in TL 44b.12 (Sasseville 2021a:52). 

Example from Yakubovich (2010:78, dissertation):
EMIRGAZİ paragraph 19-20, cf. Hawkins 1995: 88
ma-pa-wa/i *414.OVIS-zi/a REL-tá-zi/a STELE ma-lu-wa/i CRUS
*a-wa/i-tá ma-na ARHA REL-i(a)-sa-ha CAPUT+SCALPRUM
""But if someone removes(?) the stelae, for which *414-sheep are
established as a sacrificial offering…""

approx. /man=ba=wa …-anz kwattanz wani=za malwa tai/
",
fear,love,dear,PA *h3ór-/h3r-´ ‘to arise’ OR *h2redh- ‘to emerge’ Клукхорст не реконструирует h3 для PA,"PIE *h2r̥dhú, *h2redh- 'to emerge' , Клукхорст PIE *h3er-tu-","Balto-Slavic  *rod'īti , Lat. ortus ‘birth’,","dear, beloved (?)","/hartuwi(ya)-/, “*187”-tu-wa/i-i-  from hartu- 'descendant'; /hartu-/, (INFANS)ha+ra/i-tu- ‘descendant, clan’","ḫartu- ‘offspring, descendance’",,,,,,,,"It is questionable whether the word ḫartu- occurring in Hittite Transmission is Hittite (thus HW 2nd ed. Ḫ:381) or a Luwian borrowing; more evidence is needed. Projecting HLuw. /hartu-/ back into Proto-Anatolian, we obtain a u-stem of the shape *HErTu-. A priori, it is tempting to see a formation in *-tu- derived from a root *Her-, e.g. PAnat. *h3ór-/h3r-´ ‘to arise’, i.e. *h3er-tu- (thus Kloekhorst 2006a:93 and EDHIL:317 following Weitenberg; outdated HW 2nd ed. Ḫ:382). Schaffner 2010-2011a:105-107 follows another etymology (see HED H:202) and reconstructs a noun *h2r̥dhú-, i.e. a u-stem to a root *h2redh- ‘to emerge’ also found in Balto-Slavic and Greek.",
fear,love,dear,"PA *u̯ósu-/u̯ésu- ‘good’; PA *u̯és-o/to- ‘to be pleasant, favored’; ",PIE *h1u̯es- is ‘to become/be good’,,"to be dear; good, well; wellness, pleasentness (vel sim.)","/wass-/, (BONUS)wa/i-sa- ‘to be dear, be respectful’; wašš- ‘to be dear’, derivative - wašumman; wāšu- ‘good’; GLOSS wašš- or waššā- ‘to be pleasant; favoured’, /wasu-/ ‘good, dear’","wezpant- ‘old’, ḫuišwant-‘living, alive","wāšu- ‘good, well, nicely’; *waš- ‘to be dear’","wisw(i)- ‘pious, holy’; *wes-/wis- ‘to be dear’, wesfa- wisw(i)-  niwisw(i)-  pious, holy, inholy, impious",,*wes- ‘to be dear’,,,,"PAna *u̯ósu-/u̯ésu- ‘good’; PAna *u̯és-o/to- ‘to be pleasant, favored’; according to LIV2+ s.v., the basic meaning of PIE *h1u̯es- is ‘to become/be good’. Kloekhors 1018 In the vocabulary KBo 1.42 iv 42, ú-iz-za pa-a-an glosses Akk. LA-BI-RU ‘old’, showing a clear word space between izza and pn. On the basis of this attestation, Güterbock (1955: 64f.) suggested that the word is a univerbation of itt- ‘year’ (q.v.) and pnt- ‘having gone’ (see pai-zi / pai-) and that it originally meant ‘the year hasgone’. Rieken (1999a: 26) states that therefore e/izza must be interpreted as the original nom.sg. of itt- ‘year’. This interpretation is unlikely in my view, however, since an interjection of a loose sentence ‘the year has gone’ is quite ungrammatical. Moreover I cannot envisage how such an interjection would develop into an inflecting adjective. It therefore might be better to interpret *e/izza as gen.sg., univerbated with a *pnt- that agrees with the noun it determines, so that uizza pnt- originally meant ‘having gone with regard to the year(s)’, which developed into ‘having gone weary’. See for further etymology the separate lemmata itt- ‘year’ and pai-zi / pai- ‘to go’.                                                     Another question is whether PIE *h1u̯o/es-u- adj. ‘good’ can be related to the u̯-less adjective PIE *h1(E)s-u- ‘good’ (NIL:239–243), cf., e.g., Hitt. āššu- adj./sbst. ‘good’ and the compound member Ved. su- = Gk. εὐ- < PIE *h1s-u-. Some scholars assume that the stem *h1s-u- originally developed via dissimilation from *h1us-u-, the zero-grade form of *h1u̯o/es-u-. Subsequently, a new full-grade form *h1Es-u- was formed to dissimilated *h1s-u- (NIL:255 n. 3 with lit.). Others, however, propose to connect the stem *h1(E)s-u- with the PIE root *h1es- ‘to be (there)’ (cf. NIL:239 n. 1), which would then preclude a connection with PIE *h1u̯es-.",
